timestamp,symbol,price,assetAddress,configuration,aTokenAddress,stableDebtTokenAddress,variableDebtTokenAddress,collateralSupply,debtSupply,ltv,liquidationThreshold,liquidationBonus,decimals,reserveIsActive,reserveIsFrozen,borrowingEnabled,stableRateBorrowingEnabled,assetIsPaused,borrowingInIsolationModeEnabled,siloedBorrowingEnabled,flashLoaningEnabled,reserveFactor,borrowCap,supplyCap,liquidationProtocolFee,eModeCategoryId,unbackedMintCap,debtCeilingForIsolationMode,virtualAccountingEnabled
1733786185,WETH,3715.59,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,7237005577332262213973186942896404334517860101269546921594452509677130096498,0x4d5F47FA6A74757f35C14fD3a6Ef8E3C9BC514E8,0x102633152313C81cD80419b6EcF66d14Ad68949A,0xeA51d7853EEFb32b6ee06b1C12E6dcCA88Be0fFE,1529123.8085719938,1353260.1540035077,0.805,0.83,1.05,18,True,False,True,False,False,False,False,True,0.15,1800000,2000000,0.1,1,0,0,True
1733786185,wstETH,4402.51,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,7237005577332262213973186942896404282594891514035346339243923631654467542698,0x0B925eD163218f6662a35e0f0371Ac234f9E9371,0x102633152313C81cD80419b6EcF66d14Ad68949A,0xC96113eED8cAB59cD8A66813bCB0cEb29F06D2e4,1018867.429054622,180949.7945402342,0.785,0.81,1.06,18,True,False,True,False,False,False,False,True,0.05,240000,1375000,0.1,1,0,0,True
1733786185,WBTC,97028.0,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,7237005577332262213973186568751985015391667304014605037998552845408083123332,0x5Ee5bf7ae06D1Be5997A1A72006FE6C607eC6DE8,0x102633152313C81cD80419b6EcF66d14Ad68949A,0x40aAbEf1aa8f0eEc637E0E7d92fbfFB2F26A8b7B,37599.96552143,3628.55247235,0.73,0.78,1.05,8,True,False,True,False,False,False,False,True,0.5,28000,45000,0.1,0,0,0,True
1733786185,USDC,0.999451,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,7237005577332262213973186574461225012726266086340996430574728408607133015372,0x98C23E9d8f34FEFb1B7BD6a91B7FF122F4e16F5c,0x102633152313C81cD80419b6EcF66d14Ad68949A,0x72E95b8931767C79bA4EeE721354d6E99a61D004,2122919850.337382,1985297507.967088,0.75,0.78,1.045,6,True,False,True,False,False,True,False,True,0.1,2750000000,3000000000,0.2,0,0,0,True
1733786185,DAI,1.0,0x6B175474E89094C44Da98b954EedeAC495271d0F,7237005577332262213973186574461003862418464374035535262679469658146786777244,0x018008bfb33d285247A21d44E50697654f754e63,0x102633152313C81cD80419b6EcF66d14Ad68949A,0xcF8d0c70c850859266f5C338b38F9D663181C314,184048834.19817632,172910834.67695585,0.63,0.77,1.05,18,True,False,True,False,False,True,False,True,0.25,271000000,338000000,0.2,0,0,0,True
1733786185,LINK,22.48,0x514910771AF9Ca656af840dff83E8264EcF986CA,7237005577332262213973186568751986257804459629910345669476454749961228917192,0x5E8C8A7243651DB1384C0dDfDbE39761E8e7E51a,0x102633152313C81cD80419b6EcF66d14Ad68949A,0x4228F8895C7dDA20227F6a5c6751b8Ebf19a6ba8,13803899.072655162,155473.054062558,0.66,0.71,1.07,18,True,False,True,False,False,False,False,True,0.2,13000000,15000000,0.1,0,0,0,True
1733786185,AAVE,256.34,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,7237005577332262213973186568751985165345200578466576934766848061255394269640,0xA700b4eB416Be35b2911fd5Dee80678ff64fF6C9,0x102633152313C81cD80419b6EcF66d14Ad68949A,0xBae535520Abd9f8C85E58929e0006A2c8B372F74,1177830.3769527278,0.0,0.66,0.73,1.075,18,True,False,False,False,False,False,False,False,0.0,0,1850000,0.1,0,0,0,True
1733786185,cbETH,4026.01,0xBe9895146f7AF43049ca1c1AE358B0541Ea49704,7237005577332262213973186942896404173348965610175332278668589047307243887948,0x977b6fc5dE62598B08C85AC8Cf2b745874E8b78c,0x102633152313C81cD80419b6EcF66d14Ad68949A,0x0c91bcA95b5FE69164cE583A2ec9429A569798Ed,7327.164128411523,871.4834546097643,0.75,0.79,1.075,18,True,False,True,False,False,False,False,True,0.15,2400,60000,0.1,1,0,0,True
1733786185,USDT,1.0,0xdAC17F958D2ee523a2206206994597C13D831ec7,7237005577332262213973186568752275780277295445191790604061968976932146519372,0x23878914EFE38d27C4D67Ab83ed1b93A74D4086a,0x102633152313C81cD80419b6EcF66d14Ad68949A,0x6df1C1E379bC5a00a7b4C6e67A203333772f45A8,2555271334.99978,2392671422.892729,0.75,0.78,1.045,6,True,False,True,False,False,True,False,True,0.1,3250000000,3500000000,0.1,0,0,0,True
1733786185,rETH,4164.8,0xae78736Cd615f374D3085123A210448E74Fc6393,7237005577332262213973186942896404175841268102292359494132753055467953724748,0xCc9EE9483f662091a1de4795249E24aC0aC2630f,0x102633152313C81cD80419b6EcF66d14Ad68949A,0xae8593DD575FE29A9745056aA91C4b746eee62C8,43179.41497865926,1374.970372201832,0.75,0.79,1.075,18,True,False,True,False,False,False,False,True,0.15,19200,90000,0.1,1,0,0,True
